==== CACHES ====
R idx #0: scale: 1.0000  y:47     z:0  
R idx #1: scale: 1.0000  y:46     z:1  
R idx #2: scale: 1.0000  y:45     z:2  
R idx #3: scale: 1.0000  y:45     z:3  
R idx #4: scale: 0.9796  y:44     z:4  
R idx #5: scale: 0.9600  y:43     z:5
R idx #6: scale: 0.9412  y:42     z:6
R idx #7: scale: 0.9231  y:41     z:7  
R idx #8: scale: 0.9057  y:40     z:8
R idx #9: scale: 0.8889  y:40     z:9
R idx #10: scale: 0.8727         y:39     z:10
R idx #11: scale: 0.8571         y:38     z:11  
R idx #12: scale: 0.8421         y:37     z:12
R idx #13: scale: 0.8276         y:37     z:13
R idx #14: scale: 0.8136         y:36     z:14
R idx #15: scale: 0.8000         y:36     z:15
R idx #16: scale: 0.7869         y:35     z:16  
R idx #17: scale: 0.7742         y:34     z:17
R idx #18: scale: 0.7619         y:34     z:18
R idx #19: scale: 0.7500         y:33     z:19
R idx #20: scale: 0.7385         y:33     z:20  
R idx #21: scale: 0.7273         y:32     z:21
R idx #22: scale: 0.7164         y:32     z:22
R idx #23: scale: 0.7059         y:31     z:23
R idx #24: scale: 0.6957         y:31     z:24
R idx #25: scale: 0.6857         y:30     z:25  
R idx #26: scale: 0.6761         y:30     z:26
R idx #27: scale: 0.6667         y:30     z:27
R idx #28: scale: 0.6575         y:29     z:28
R idx #29: scale: 0.6486         y:29     z:29  
R idx #30: scale: 0.6400         y:28     z:30
R idx #31: scale: 0.6316         y:28     z:31
R idx #32: scale: 0.6234         y:28     z:32
R idx #33: scale: 0.6154         y:27     z:33
R idx #34: scale: 0.6076         y:27     z:34  
R idx #35: scale: 0.6000         y:27     z:35
R idx #36: scale: 0.5926         y:26     z:36
R idx #37: scale: 0.5854         y:26     z:37
R idx #38: scale: 0.5783         y:26     z:38  
R idx #39: scale: 0.5714         y:25     z:39
R idx #40: scale: 0.5647         y:25     z:40
R idx #41: scale: 0.5581         y:25     z:41
R idx #42: scale: 0.5517         y:24     z:42  
R idx #43: scale: 0.5455         y:24     z:43
R idx #44: scale: 0.5393         y:24     z:44
R idx #45: scale: 0.5333         y:24     z:45
R idx #46: scale: 0.5275         y:23     z:46
R idx #47: scale: 0.5217         y:23     z:47  
R idx #48: scale: 0.5161         y:23     z:48
R idx #49: scale: 0.5106         y:22     z:49
R idx #50: scale: 0.5053         y:22     z:50
R idx #51: scale: 0.5000         y:22     z:51  
R idx #52: scale: 0.4948         y:22     z:52
R idx #53: scale: 0.4898         y:22     z:53
R idx #54: scale: 0.4848         y:21     z:54
R idx #55: scale: 0.4800         y:21     z:55
R idx #56: scale: 0.4752         y:21     z:56  
R idx #57: scale: 0.4706         y:21     z:57
R idx #58: scale: 0.4660         y:20     z:58
R idx #59: scale: 0.4615         y:20     z:59
R idx #60: scale: 0.4571         y:20     z:60  
R idx #61: scale: 0.4528         y:20     z:61
R idx #62: scale: 0.4486         y:20     z:62
R idx #63: scale: 0.4444         y:20     z:63
R idx #64: scale: 0.4404         y:19     z:64
R idx #65: scale: 0.4364         y:19     z:65  
R idx #66: scale: 0.4324         y:19     z:66
R idx #67: scale: 0.4286         y:19     z:67
R idx #68: scale: 0.4248         y:19     z:68
R idx #69: scale: 0.4211         y:18     z:69  
R idx #70: scale: 0.4174         y:18     z:70
R idx #71: scale: 0.4138         y:18     z:71
R idx #72: scale: 0.4103         y:18     z:72
R idx #73: scale: 0.4068         y:18     z:73  
R idx #74: scale: 0.4034         y:18     z:74
R idx #75: scale: 0.4000         y:18     z:75
R idx #76: scale: 0.3967         y:17     z:76
R idx #77: scale: 0.3934         y:17     z:77  
R idx #78: scale: 0.3902         y:17     z:78
R idx #79: scale: 0.3871         y:17     z:79
R idx #80: scale: 0.3840         y:17     z:80
R idx #81: scale: 0.3810         y:17     z:81
R idx #82: scale: 0.3780         y:17     z:82  
R idx #83: scale: 0.3750         y:16     z:83
R idx #84: scale: 0.3721         y:16     z:84
R idx #85: scale: 0.3692         y:16     z:85
R idx #86: scale: 0.3664         y:16     z:86  
