frame,FRAME_START,game_screen_refresh_AFTER_DISPLAY_SHOW,game_screen_refresh_BEFORE_DISPLAY_SHOW,game_screen_refresh_BEFORE_FX,game_screen_refresh_BEFORE_PLAYER_SHOW,game_screen_refresh_BEFORE_SHOW_ALL,game_screen_refresh_END,game_screen_refresh_START,game_screen_refresh_UI_SHOW,game_screen_run_END,game_screen_run_START,game_screen_start_END,game_screen_start_START
1,65168.0,,,,,,,,,61648.0,64288.0,47472.0,60576.0
2,46192.0,20208.0,21056.0,29296.0,30032.0,35904.0,19472.0,45600.0,28528.0,,,,
3,14768.0,76080.0,76928.0,85168.0,86032.0,4480.0,75344.0,14176.0,84400.0,,,,
4,56256.0,37312.0,38160.0,39776.0,40512.0,46384.0,36512.0,55664.0,39008.0,,,,
5,17312.0,84880.0,85728.0,416.0,1280.0,7152.0,84080.0,16720.0,86576.0,,,,
6,64208.0,44688.0,45536.0,47152.0,47888.0,53760.0,43888.0,63616.0,46384.0,,,,
7,23952.0,4064.0,4912.0,6528.0,7392.0,13264.0,3264.0,23360.0,5760.0,,,,
8,42224.0,11152.0,12000.0,20240.0,20976.0,31712.0,10352.0,41632.0,19472.0,,,,
9,62592.0,38240.0,39088.0,40704.0,41568.0,52304.0,37440.0,62000.0,39936.0,,,,
10,3008.0,65968.0,66816.0,68432.0,69168.0,79904.0,65168.0,2416.0,67664.0,,,,
11,30768.0,7504.0,8352.0,9968.0,10832.0,21568.0,6704.0,30176.0,9200.0,,,,
12,59264.0,36640.0,37488.0,39104.0,39840.0,50576.0,35840.0,58672.0,38336.0,,,,
13,61904.0,28336.0,29184.0,37424.0,38288.0,53888.0,27536.0,61312.0,36656.0,,,,
14,66048.0,40544.0,41392.0,43008.0,43744.0,59344.0,39744.0,65456.0,42240.0,,,,
15,79520.0,55040.0,55888.0,57504.0,58368.0,73968.0,54240.0,78928.0,56736.0,,,,
16,6112.0,64128.0,64976.0,73216.0,73952.0,1744.0,63328.0,5520.0,72448.0,,,,
17,77072.0,48912.0,49760.0,51376.0,52240.0,72704.0,48112.0,76480.0,50608.0,,,,
18,73744.0,45712.0,46560.0,48176.0,48912.0,69376.0,44912.0,73152.0,47408.0,,,,
19,69712.0,41552.0,42400.0,44016.0,44880.0,65344.0,40752.0,69120.0,43248.0,,,,
20,64640.0,29984.0,30832.0,39072.0,39808.0,60272.0,29184.0,64048.0,38304.0,,,,
21,26960.0,81424.0,82272.0,83888.0,84752.0,22592.0,80624.0,26368.0,83120.0,,,,
22,2736.0,57520.0,58368.0,59984.0,60720.0,86048.0,56720.0,2144.0,59216.0,,,,
23,65152.0,25504.0,26352.0,34592.0,35456.0,60784.0,24704.0,64560.0,33824.0,,,,
24,34560.0,1664.0,2512.0,4128.0,4864.0,30192.0,864.0,33968.0,3360.0,,,,
25,72576.0,34688.0,35536.0,37152.0,38016.0,68208.0,33888.0,71984.0,36384.0,,,,
26,28640.0,71808.0,72656.0,80896.0,81632.0,24272.0,71008.0,28048.0,80128.0,,,,
27,70896.0,34928.0,35776.0,37392.0,38256.0,66528.0,34128.0,70304.0,36624.0,,,,
28,15216.0,64032.0,64880.0,66496.0,67232.0,10848.0,63232.0,14624.0,65728.0,,,,
29,58224.0,12688.0,13536.0,21776.0,22640.0,53856.0,11888.0,57632.0,21008.0,,,,
30,8624.0,57536.0,58384.0,60000.0,60736.0,4256.0,56736.0,8032.0,59232.0,,,,
31,56288.0,12672.0,13520.0,21760.0,22624.0,51920.0,11872.0,55696.0,20992.0,,,,
